"X1","season","team_home","q1_home","q2_home","q3_home","q4_home","score_home","date_venue","team_away","q1_away","q2_away","q3_away","q4_away","score_away","result","local_time","venue","attendance","premier","runner_up","win_margin","preliminary_finalist"
1,1946,"Essendon",7.2,"  9.7","20.15","22.18",150,"Sat 05-Oct-1946 2:50 PM Att: 73,743 Venue: M.C.G.","Melbourne",8.3," 10.4"," 11.5"," 13.9",87,"Essendon won by 63 pts [Match stats]",1946-10-05 14:50:00,"M.C.G.",73743,"Essendon",11,63,FALSE
2,1947,"Carlton",4,"  8.0"," 10.4"," 13.8",86,"Sat 27-Sep-1947 2:50 PM Att: 85,793 Venue: M.C.G.","Essendon",3.7," 8.11","10.15","11.19",85,"Carlton won by 1 pt [Match stats]",1947-09-27 14:50:00,"M.C.G.",85793,"Carlton",5,1,FALSE
3,1948,"Melbourne",6.2,"  9.3"," 11.6","13.11",89,"Sat 09-Oct-1948 2:15 PM Att: 52,226 Venue: M.C.G.","Essendon",0.3,"  5.5","  6.6","  7.8",50,"Melbourne won by 39 pts [Match stats]",1948-10-09 14:15:00,"M.C.G.",52226,"Melbourne",5,39,FALSE
4,1949,"Essendon",3.3,"  7.7","12.15","18.17",125,"Sat 24-Sep-1949 2:50 PM Att: 88,718 Venue: M.C.G.","Carlton",2.4," 2.10"," 3.12"," 6.16",52,"Essendon won by 73 pts [Match stats]",1949-09-24 14:50:00,"M.C.G.",88718,"Essendon",3,73,FALSE
5,1950,"Essendon",7.3,"  7.6","10.11","13.14",92,"Sat 23-Sep-1950 2:50 PM Att: 85,869 Venue: M.C.G.","North Melbourne",4,"  5.5","  7.9"," 7.12",54,"Essendon won by 38 pts [Match stats]",1950-09-23 14:50:00,"M.C.G.",85869,"Essendon",12,38,FALSE
6,1951,"Geelong",3.8," 4.10"," 9.13","11.15",81,"Sat 29-Sep-1951 2:50 PM Att: 85,795 Venue: M.C.G.","Essendon",1,"  6.2","  6.4","10.10",70,"Geelong won by 11 pts [Match stats]",1951-09-29 14:50:00,"M.C.G.",85795,"Geelong",5,11,TRUE
7,1952,"Geelong",4.2,"  5.3"," 11.6"," 13.8",86,"Sat 27-Sep-1952 2:50 PM Att: 82,890 Venue: M.C.G.","Collingwood",1.1,"  3.3","  5.3"," 5.10",40,"Geelong won by 46 pts [Match stats]",1952-09-27 14:50:00,"M.C.G.",82890,"Geelong",4,46,TRUE
8,1953,"Collingwood",2.4,"  5.6","10.10","11.11",77,"Sat 26-Sep-1953 2:50 PM Att: 89,149 Venue: M.C.G.","Geelong",2.2,"  3.9"," 5.11"," 8.17",65,"Collingwood won by 12 pts [Match stats]",1953-09-26 14:50:00,"M.C.G.",89149,"Collingwood",7,12,FALSE
9,1954,"Western Bulldogs",6.3,"  8.5"," 12.9","15.12",102,"Sat 25-Sep-1954 2:50 PM Att: 80,897 Venue: M.C.G.","Melbourne",1.4,"  4.6","  6.7","  7.9",51,"Western Bulldogs won by 51 pts [Match stats]",1954-09-25 14:50:00,"M.C.G.",80897,"Western Bulldogs",11,51,FALSE
10,1955,"Melbourne",2.3," 3.10"," 4.13"," 8.16",64,"Sat 17-Sep-1955 2:50 PM Att: 88,053 Venue: M.C.G.","Collingwood",2.2,"  2.5","  4.6","  5.6",36,"Melbourne won by 28 pts [Match stats]",1955-09-17 14:50:00,"M.C.G.",88053,"Melbourne",4,28,FALSE
